"hmdb_Id"	"kegg_Id"	"super_class"	"class"
"114"	"HMDB00175"	"C00130"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"115"	"HMDB00176"	"C01384"	"Lipids"	"Fatty Acids and Conjugates"
"116"	"HMDB00177"	"C00135"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"117"	"HMDB00181"	"C00355"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"118"	"HMDB00182"	"C00047"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"119"	"HMDB00186"	"C00243"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"120"	"HMDB00187"	"C00065"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"121"	"HMDB00189"	"C00081"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"122"	"HMDB00190"	"C00186"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"123"	"HMDB00191"	"C00049"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"124"	"HMDB00192"	"C00491"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"125"	"HMDB00193"	"C00311"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"126"	"HMDB00194"	"C01262"	"Amino Acids, Peptides, and Analogues"	"Peptidomimetics"
"127"	"HMDB00195"	"C00294"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"128"	"HMDB00197"	"C00954"	"Aromatic Heteropolycyclic Compounds"	"Indoles"
"129"	"HMDB00201"	"C02571"	"Lipids"	"Fatty Acid Esters"
"130"	"HMDB00202"	"C02170"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"131"	"HMDB00205"	"C00166"	"Aromatic Homomonocyclic Compounds"	"Benzyl Alcohols and Derivatives"
"132"	"HMDB00206"	"C02727"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"133"	"HMDB00207"	"C00712"	"Lipids"	"Fatty Acids and Conjugates"
"134"	"HMDB00208"	"C00026"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"135"	"HMDB00209"	"C07086"	"Aromatic Homomonocyclic Compounds"	"Phenylacetic Acid Derivatives"
"136"	"HMDB00210"	"C00864"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"137"	"HMDB00211"	"C00137"	"Aliphatic Homomonocyclic Compounds"	"Cyclic Alcohols and Derivatives"
"138"	"HMDB00212"	"C01074"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"139"	"HMDB00213"	"C04006"	"Aliphatic Homomonocyclic Compounds"	"Cyclic Alcohols and Derivatives"
"140"	"HMDB00214"	"C00077"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"141"	"HMDB00215"	"C00140"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"142"	"HMDB00216"	"C00547"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"143"	"HMDB00217"	"C00006"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"144"	"HMDB00218"	"C01103"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"145"	"HMDB00220"	"C00249"	"Lipids"	"Fatty Acids and Conjugates"
"146"	"HMDB00221"	"C00005"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"147"	"HMDB00222"	"C02990"	"Lipids"	"Fatty Acid Esters"
"148"	"HMDB00223"	"C00036"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"149"	"HMDB00224"	"C00346"	"Organophosphorus Compounds"	"Organic Phosphoric Acids and Derivatives"
"150"	"HMDB00225"	"C00322"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"151"	"HMDB00226"	"C00295"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"152"	"HMDB00227"	"C00418"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"153"	"HMDB00228"	"C00146"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"154"	"HMDB00229"	"C00455"	"Nucleosides, Nucleotides, and Analogues"	"Pyridine Nucleotides"
"155"	"HMDB00230"	"C19910"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Acids and Derivatives"
"156"	"HMDB00232"	"C03722"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"157"	"HMDB00234"	"C00535"	"Lipids"	"Steroids and Steroid Derivatives"
"158"	"HMDB00235"	"C00378"	"Aromatic Heteropolycyclic Compounds"	"Thiamines"
"159"	"HMDB00237"	"C00163"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"160"	"HMDB00238"	"C00835"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"161"	"HMDB00239"	"C00314"	"Aromatic Heteromonocyclic Compounds"	"Pyridines and Derivatives"
"162"	"HMDB00240"	"C00094"	"Homogeneous Non-metal Compounds"	"Non-metal Oxoanionic Compounds"
"163"	"HMDB00241"	"C02191"	"Aromatic Heteropolycyclic Compounds"	"Tetrapyrroles and Derivatives"
"164"	"HMDB00243"	"C00022"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"165"	"HMDB00244"	"C00255"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"166"	"HMDB00245"	"C00931"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"167"	"HMDB00246"	"NA"	"Aliphatic Heteromonocyclic Compounds"	"Oxolanes"
"168"	"HMDB00247"	"C00794"	"Lipids"	"Fatty Alcohols"
"169"	"HMDB00248"	"C01829"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"170"	"HMDB00250"	"C00013"	"Homogeneous Non-metal Compounds"	"Non-metal Oxoanionic Compounds"
"171"	"HMDB00251"	"C00245"	"Organic Acids and Derivatives"	"Sulfonic Acids and Derivatives"
"172"	"HMDB00252"	"C00319"	"Lipids"	"Sphingolipids"
"173"	"HMDB00253"	"C01953"	"Lipids"	"Steroids and Steroid Derivatives"
"174"	"HMDB00254"	"C00042"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"175"	"HMDB00256"	"C00751"	"Lipids"	"Prenol Lipids"
"176"	"HMDB00257"	"C00320"	"Homogeneous Non-metal Compounds"	"Non-metal Oxoanionic Compounds"
"177"	"HMDB00258"	"C00089"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"178"	"HMDB00259"	"C00780"	"Aromatic Heteropolycyclic Compounds"	"Indoles"
"179"	"HMDB00262"	"C00178"	"Aromatic Heteromonocyclic Compounds"	"Diazines"
"180"	"HMDB00263"	"C00074"	"Aliphatic Acyclic Compounds"	"Organic Oxoanionic Compounds"
"181"	"HMDB00265"	"C02465"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"182"	"HMDB00267"	"C01879"	"Aliphatic Heteromonocyclic Compounds"	"Pyrrolidines"
"183"	"HMDB00268"	"C05476"	"Lipids"	"Steroids and Steroid Derivatives"
"184"	"HMDB00269"	"C00836"	"Lipids"	"Sphingolipids"
"185"	"HMDB00271"	"C00213"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"186"	"HMDB00272"	"C01005"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"187"	"HMDB00273"	"C00214"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleosides and Analogues"
"188"	"HMDB00277"	"C06124"	"Lipids"	"Sphingolipids"
"189"	"HMDB00279"	"C00449"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"190"	"HMDB00280"	"C00119"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"191"	"HMDB00283"	"C00121"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"192"	"HMDB00285"	"C00075"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"193"	"HMDB00286"	"C00029"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"194"	"HMDB00288"	"C00105"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"195"	"HMDB00289"	"C00366"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"196"	"HMDB00290"	"C00043"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"197"	"HMDB00291"	"C05584"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"198"	"HMDB00292"	"C00385"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"199"	"HMDB00293"	"C00700"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"200"	"HMDB00294"	"C00086"	"Aliphatic Acyclic Compounds"	"Ureas"
"201"	"HMDB00295"	"C00015"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"202"	"HMDB00296"	"C00299"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleosides and Analogues"
"203"	"HMDB00299"	"C01762"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"204"	"HMDB00300"	"C00106"	"Aromatic Heteromonocyclic Compounds"	"Diazines"
"205"	"HMDB00301"	"C00785"	"Aromatic Heteromonocyclic Compounds"	"Azoles"
"206"	"HMDB00302"	"C00052"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"207"	"HMDB00303"	"C00398"	"Aromatic Heteropolycyclic Compounds"	"Indoles"
"208"	"HMDB00304"	"C00203"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"209"	"HMDB00305"	"C00473"	"Lipids"	"Prenol Lipids"
"210"	"HMDB00306"	"C00483"	"Aromatic Homomonocyclic Compounds"	"Phenethylamines"
"211"	"HMDB00307"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"212"	"HMDB00308"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"213"	"HMDB00309"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"214"	"HMDB00310"	"NA"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"215"	"HMDB00311"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"216"	"HMDB00312"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"217"	"HMDB00313"	"C05300"	"Lipids"	"Steroids and Steroid Derivatives"
"218"	"HMDB00314"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"219"	"HMDB00315"	"C06390  "	"Lipids"	"Steroids and Steroid Derivatives"
"220"	"HMDB00316"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"221"	"HMDB00317"	"NA"	"Lipids"	"Fatty Acids and Conjugates"
"222"	"HMDB00318"	"C05576"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"223"	"HMDB00319"	"C01124"	"Lipids"	"Steroids and Steroid Derivatives"
"224"	"HMDB00320"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"225"	"HMDB00321"	"C02360"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"226"	"HMDB00322"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"227"	"HMDB00323"	"NA"	"Aliphatic Heteromonocyclic Compounds"	"Piperidines"
"228"	"HMDB00324"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"229"	"HMDB00325"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"230"	"HMDB00326"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"231"	"HMDB00328"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"232"	"HMDB00329"	"NA"	"Aromatic Homomonocyclic Compounds"	"Phenylacetic Acid Derivatives"
"233"	"HMDB00330"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"234"	"HMDB00331"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"235"	"HMDB00332"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"236"	"HMDB00333"	"NA"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"237"	"HMDB00335"	"C05300"	"Lipids"	"Steroids and Steroid Derivatives"
"238"	"HMDB00336"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"239"	"HMDB00337"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"240"	"HMDB00338"	"C05301"	"Lipids"	"Steroids and Steroid Derivatives"
"241"	"HMDB00339"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"242"	"HMDB00340"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"243"	"HMDB00341"	"NA"	"Lipids"	"Fatty Acids and Conjugates"
"244"	"HMDB00343"	"C05298"	"Lipids"	"Steroids and Steroid Derivatives"
"245"	"HMDB00344"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"246"	"HMDB00345"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"247"	"HMDB00346"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"248"	"HMDB00347"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"249"	"HMDB00348"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"250"	"HMDB00349"	"NA"	"Aliphatic Heteromonocyclic Compounds"	"Lactones"
"251"	"HMDB00350"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"252"	"HMDB00351"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"253"	"HMDB00352"	"C05139"	"Lipids"	"Steroids and Steroid Derivatives"
"254"	"HMDB00353"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"255"	"HMDB00354"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"256"	"HMDB00355"	"C03761"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"257"	"HMDB00356"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"258"	"HMDB00357"	"C01089"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"259"	"HMDB00359"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"260"	"HMDB00360"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"261"	"HMDB00361"	"C17660"	"Lipids"	"Steroids and Steroid Derivatives"
"262"	"HMDB00362"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Acids and Derivatives"
"263"	"HMDB00363"	"C05138"	"Lipids"	"Steroids and Steroid Derivatives"
"264"	"HMDB00364"	"C17727"	"Lipids"	"Steroids and Steroid Derivatives"
"265"	"HMDB00365"	"C07635"	"Lipids"	"Steroids and Steroid Derivatives"
"266"	"HMDB00366"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"267"	"HMDB00367"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"268"	"HMDB00368"	"NA"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"269"	"HMDB00369"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"270"	"HMDB00370"	"C05672"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"271"	"HMDB00371"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"272"	"HMDB00372"	"C14441"	"Lipids"	"Steroids and Steroid Derivatives"
"273"	"HMDB00374"	"C01176"	"Lipids"	"Steroids and Steroid Derivatives"
"274"	"HMDB00375"	"C11457"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"275"	"HMDB00376"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"276"	"HMDB00377"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"277"	"HMDB00378"	"NA"	"Lipids"	"Fatty Acid Esters"
"278"	"HMDB00379"	"NA"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"279"	"HMDB00380"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"280"	"HMDB00381"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"281"	"HMDB00382"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
